NAME                                   VERSION           TYPE                         
Hidden Input                           1, 0, 0, 0        binary                        
acl-libs                               2.3.2-r1          apk                           
aligned                                0.4.2             rust-crate                    
aligned-vec                            0.6.4             rust-crate                    
alpine-baselayout                      3.7.2-r1          apk                           
alpine-baselayout-data                 3.7.2-r1          apk                           
alpine-keys                            2.6-r0            apk                           
alpine-release                         3.24.1-r0         apk                           
alsa-lib                               1.2.15.3-r0       apk                           
anstream                               0.6.19            rust-crate                    
anstyle                                1.0.11            rust-crate                    
anstyle-parse                          0.2.7             rust-crate                    
anstyle-query                          1.1.3             rust-crate                    
anyhow                                 1.0.98            rust-crate    (+1 duplicate)  
aom-libs                               3.14.1-r0         apk                           
apache2-utils                          2.4.68-r0         apk                           
apimatic/core                          0.3.17            php-composer                  
apimatic/core-interfaces               0.1.5             php-composer                  
apimatic/jsonmapper                    3.1.7             php-composer                  
apimatic/unirest-php                   4.0.7             php-composer                  
apk-tools                              3.0.7-r0          apk                           
apr                                    1.7.6-r0          apk                           
apr-util                               1.6.4-r0          apk                           
arg_enum_proc_macro                    0.3.4             rust-crate                    
argon2-libs                            20190702-r5       apk                           
arrayvec                               0.7.6             rust-crate                    
as-slice                               0.2.1             rust-crate                    
av-metrics                             0.9.1             rust-crate                    
av-scenechange                         0.14.1            rust-crate                    
av1-grain                              0.2.4             rust-crate                    
aws/aws-crt-php                        v1.2.7            php-composer                  
aws/aws-sdk-php                        3.391.1           php-composer                  
bash                                   5.3.9-r1          apk                           
bepsvpt/secure-headers                 9.1.1             php-composer                  
bitflags                               2.9.1             rust-crate                    
bitstream-io                           2.6.0             rust-crate                    
bitstream-io                           4.2.0             rust-crate                    
bitvec                                 1.0.1             rust-crate                    
bitvec_helpers                         3.1.6             rust-crate                    
brick/math                             0.14.8            php-composer                  
brotli-libs                            1.2.0-r1          apk                           
busybox                                1.37.0-r31        apk                           
busybox-binsh                          1.37.0-r31        apk                           
c-ares                                 1.34.8-r0         apk                           
ca-certificates                        20260611-r0       apk                           
ca-certificates-bundle                 20260611-r0       apk                           
carbonphp/carbon-doctrine-types        2.1.0             php-composer                  
catatonit                              0.2.1-r0          apk                           
cfg-if                                 1.0.1             rust-crate                    
charlieetienne/palette-generator       v1.1              php-composer                  
cjson                                  1.7.19-r1         apk                           
clap                                   4.5.40            rust-crate                    
clap_builder                           4.5.40            rust-crate                    
clap_complete                          4.5.54            rust-crate                    
clap_lex                               0.7.5             rust-crate                    
clue/stream-filter                     v1.7.0            php-composer                  
colorchoice                            1.0.4             rust-crate                    
composer                               2.10.2            binary                        
composer/semver                        3.4.4             php-composer                  
console                                0.15.11           rust-crate                    
core2                                  0.4.0             rust-crate                    
coreutils                              9.11-r0           apk                           
coreutils-env                          9.11-r0           apk                           
coreutils-fmt                          9.11-r0           apk                           
coreutils-sha512sum                    9.11-r0           apk                           
